X,Y,HEIGHT_M,TEMP_C_MEAN,RAIN_MM,LAND_USE,LAND_COVER,CLIMATE_CLASS,SHI_OBSERVED,POINT_ID
-4.42707114022324,40.9919690718549,910.41,12.56,389.07,Agriculture (excluding fallow land and kitchen gardens),Cropland,8,2.65,31102104
-2.28127129130207,41.465546393834,1092.41,11.77,405.61,Semi-natural and natural areas not in use,Woodland,15,3.7,32962124
2.82618684926518,45.0612211458542,1313.97,6.95,1536.58,Agriculture (excluding fallow land and kitchen gardens),Shrubland,26,3.75,37562466
15.027291034502,54.0540140461,1.39,9.16,615.7,Agriculture (excluding fallow land and kitchen gardens),Grassland,15,3.65,46503450
16.3679019469885,38.679858141643,610.65,12.97,1211.15,Forestry,Woodland,8,3.35,48781756
-8.98153042594126,39.4138205514619,206.24,15.29,793.89,Forestry,Woodland,9,3.7,26962018
19.9386575866997,47.0662244122765,96.17,11.62,499.62,Forestry,Woodland,25,3.95,50742712
-5.24765347574626,41.1797744746859,772.62,12.74,346.36,Agriculture (excluding fallow land and kitchen gardens),Cropland,7,2.2,30462138
9.63549754410788,48.4028736908558,775.11,7.76,919.84,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,3.9,42942810
24.327986278748,45.727842880272,391.93,9.89,567.81,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,2.85,54302620
-2.08522492889765,41.4531611706798,968.86,12.06,392.84,Agriculture (excluding fallow land and kitchen gardens),Cropland,15,3.5,33122120
14.9873663441081,37.9802240087476,1240.34,12.17,830.34,Agriculture (excluding fallow land and kitchen gardens),Grassland,9,3.45,47621670
3.8886694804014,44.8935896112654,987.8,7.62,785.23,Agriculture (excluding fallow land and kitchen gardens),Cropland,15,3.8,38382440
5.46524324728665,48.2023763992012,410.5,9.9,970.41,Agriculture (excluding fallow land and kitchen gardens),Cropland,15,3.75,39842798
14.3179016948357,49.1299264316405,422.12,8.7,610.48,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,2.55,46362900
7.50475517728971,47.7992144921561,223.32,10.89,781.22,Agriculture (excluding fallow land and kitchen gardens),Cropland,15,3.1,41342746
12.0158999037257,45.0704919570545,-0.65,14.06,666.72,Agriculture (excluding fallow land and kitchen gardens),Cropland,14,3.35,44802442
-2.68737346538377,40.2630221659457,721.43,13.78,411.94,Agriculture (excluding fallow land and kitchen gardens),Cropland,7,3.25,32421998
2.58845210486922,49.2204431829649,65.31,11.31,651.68,Agriculture (excluding fallow land and kitchen gardens),Bareland,15,3.1,37822928
14.1815683927402,41.0296167318945,13.64,17.24,809.54,Agriculture (excluding fallow land and kitchen gardens),Cropland,8,3.1,46742002
12.9680181585096,41.435264865821,16.78,17.01,840.96,Agriculture (excluding fallow land and kitchen gardens),Grassland,8,2.05,45702042
5.16930620507327,48.4782075813975,319.97,10.64,955.13,Agriculture (excluding fallow land and kitchen gardens),Cropland,15,3.85,39642830
13.2737417393058,46.1749424716951,218.11,12.18,1498.67,Forestry,Woodland,14,3.0,45742568
22.735828272504,42.2481948493791,578.23,11.29,542.29,Semi-natural and natural areas not in use,Woodland,14,3.25,53702216
3.25529936106565,44.6737552737421,1068.45,7.94,937.09,Agriculture (excluding fallow land and kitchen gardens),Grassland,15,3.25,37862420
-4.47379835623672,41.4982065110957,858.95,12.15,407.46,Agriculture (excluding fallow land and kitchen gardens),Cropland,8,3.4,31162160
7.34600029279054,50.315299393107,204.02,10.52,561.51,Agriculture (excluding fallow land and kitchen gardens),Cropland,15,2.75,41323026
24.4795070996267,56.6051256935693,24.71,7.33,586.33,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,3.8,52043812
26.2091561833066,58.7354836361025,77.31,6.0,656.28,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.3,52524066
21.6484494538732,53.4009081868259,111.94,8.17,569.55,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,3.6,50923428
17.45202462384,51.0959287919051,158.7,9.58,563.05,Forestry,Woodland,26,3.65,48423136
-7.9182519528074,42.5353364109172,787.99,11.2,1374.8,Forestry,Woodland,9,3.55,28602334
14.667896736024,45.816302655156,643.28,9.59,1384.72,Forestry,Woodland,26,3.55,46842534
-4.7500485715399,40.5220867885112,1487.4,10.79,545.92,Agriculture (excluding fallow land and kitchen gardens),Shrubland,9,3.7,30742058
18.6940496168632,46.2864561701254,91.04,11.0,594.04,Agriculture (excluding fallow land and kitchen gardens),Cropland,14,3.05,49902614
18.2516926247445,49.6136158791718,492.33,8.82,801.77,Forestry,Woodland,26,3.5,49162978
